team,year,ap_rank,kenpom_rank,team_clean
Missouri,2022,68,,Missouri
Temple,2022,69,,Temple
South Carolina,2022,70,,South Carolina
Fresno St.,2022,71,,Fresno St.
Butler,2022,72,,Butler
UC Irvine,2022,73,,UC Irvine
Northwestern,2022,74,,Northwestern
Miami FL,2022,75,,Miami FL
Vermont,2022,76,,Vermont
Yale,2022,77,,Yale
Rutgers,2022,78,,Rutgers
Providence,2022,79,,Providence
East Tennessee St.,2022,80,,East Tennessee St.
Oregon St.,2022,81,,Oregon St.
USC,2022,82,,USC
Oklahoma St.,2022,83,,Oklahoma St.
Illinois,2022,84,,Illinois
Davidson,2022,85,,Davidson
BYU,2022,86,,BYU
UNC Greensboro,2022,87,,UNC Greensboro
St. John's,2022,88,,St. John's
Northeastern,2022,89,,Northeastern
San Diego,2022,90,,San Diego
Texas A&M,2022,91,,Texas A&M
South Dakota St.,2022,92,,South Dakota St.
Hofstra,2022,93,,Hofstra
Arizona,2022,94,,Arizona
West Virginia,2022,95,,West Virginia
Northern Kentucky,2022,96,,Northern Kentucky
Notre Dame,2022,97,,Notre Dame
Connecticut,2022,98,,Connecticut
South Florida,2022,99,,South Florida
Georgetown,2022,100,,Georgetown
Pittsburgh,2022,101,,Pittsburgh
UCLA,2022,102,,UCLA
Georgia Southern,2022,103,,Georgia Southern
Utah Valley,2022,104,,Utah Valley
Bowling Green,2022,105,,Bowling Green
Saint Louis,2022,106,,Saint Louis
SMU,2022,107,,SMU
Akron,2022,108,,Akron
Utah,2022,109,,Utah
Jacksonville St.,2022,110,,Jacksonville St.
Grand Canyon,2022,111,,Grand Canyon
Stanford,2022,112,,Stanford
Old Dominion,2022,113,,Old Dominion
Harvard,2022,114,,Harvard
Georgia Tech,2022,115,,Georgia Tech
Western Kentucky,2022,116,,Western Kentucky
Wright St.,2022,117,,Wright St.
DePaul,2022,118,,DePaul
Tulsa,2022,119,,Tulsa
Southern Miss,2022,120,,Southern Miss
St. Bonaventure,2022,121,,St. Bonaventure
Radford,2022,122,,Radford
Charleston,2022,123,,Charleston
Georgia St.,2022,124,,Georgia St.
San Diego St.,2022,125,,San Diego St.
Colgate,2022,126,,Colgate
Boston College,2022,127,,Boston College
