team,year,ap_rank,kenpom_rank
Detroit,2022,233,
Quinnipiac,2022,234,
Eastern Kentucky,2022,235,
Massachusetts,2022,236,
Eastern Washington,2022,237,
UMKC,2022,238,
Holy Cross,2022,239,
Sacred Heart,2022,240,
California,2022,241,
Army,2022,242,
Air Force,2022,243,
Norfolk St.,2022,244,
Morehead St.,2022,245,
Middle Tennessee,2022,246,
Jacksonville,2022,247,
Rice,2022,248,
Troy,2022,249,
Montana St.,2022,250,
Drexel,2022,251,
UC Davis,2022,252,
Cal St. Northridge,2022,253,
Arkansas St.,2022,254,
Western Michigan,2022,255,
Longwood,2022,256,
The Citadel,2022,257,
UMass Lowell,2022,258,
Youngstown St.,2022,259,
Fordham,2022,260,
St. Francis PA,2022,261,
New Orleans,2022,262,
LIU Brooklyn,2022,263,
East Carolina,2022,264,
Delaware,2022,265,
Chattanooga,2022,266,
Siena,2022,267,
Grambling St.,2022,268,
Robert Morris,2022,269,
Loyola MD,2022,270,
North Dakota,2022,271,
UNC Wilmington,2022,272,
Southern Utah,2022,273,
Sacramento St.,2022,274,
St. Francis NY,2022,275,
Marist,2022,276,
Western Carolina,2022,277,
Cleveland St.,2022,278,
Albany,2022,279,
Navy,2022,280,
Houston Baptist,2022,281,
Canisius,2022,282,
Tulane,2022,283,
North Alabama,2022,284,
James Madison,2022,285,
Portland St.,2022,286,
Texas A&M Corpus Chris,2022,287,
VMI,2022,288,
Tennessee Martin,2022,289,
Oral Roberts,2022,290,
Towson,2022,291,
Tennessee St.,2022,292,
George Washington,2022,293,
Western Illinois,2022,294,
Monmouth,2022,295,
Milwaukee,2022,296,
Charlotte,2022,297,
Lafayette,2022,298,
UTEP,2022,299,
North Carolina A&T,2022,300,
Fairfield,2022,301,
Central Arkansas,2022,302,
North Carolina Central,2022,303,
Northern Arizona,2022,304,
Howard,2022,305,
Bethune Cookman,2022,306,
Eastern Illinois,2022,307,
Southeast Missouri St.,2022,308,
Elon,2022,309,
Nicholls St.,2022,310,
Stephen F. Austin,2022,311,
Denver,2022,312,
Arkansas Pine Bluff,2022,313,
Wagner,2022,314,
Niagara,2022,315,
Saint Peter's,2022,316,
Wyoming,2022,317,
Florida A&M,2022,318,
Jackson St.,2022,319,
Tennessee Tech,2022,320,
Central Connecticut,2022,321,
UC Riverside,2022,322,
Manhattan,2022,323,
Mount St. Mary's,2022,324,
Stetson,2022,325,
Portland,2022,326,
Bryant,2022,327,
Alabama St.,2022,328,
