player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,Cade Cunningham,Cade Cunningham_2021
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,Jalen Green,Jalen Green_2021
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,Evan Mobley,Evan Mobley_2021
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,Scottie Barnes,Scottie Barnes_2021
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,Jalen Suggs,Jalen Suggs_2021
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,Josh Giddey,Josh Giddey_2021
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7,Jonathan Kuminga,Jonathan Kuminga_2021
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8,Franz Wagner,Franz Wagner_2021
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9,Davion Mitchell,Davion Mitchell_2021
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10,Ziaire Williams,Ziaire Williams_2021
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11,James Bouknight,James Bouknight_2021
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12,Joshua Primo,Joshua Primo_2021
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13,Chris Duarte,Chris Duarte_2021
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14,Moses Moody,Moses Moody_2021
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15,Corey Kispert,Corey Kispert_2021
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16,Alperen Sengun,Alperen Sengun_2021
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17,Trey Murphy Iii,Trey Murphy Iii_2021
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18,Tre Mann,Tre Mann_2021
Kai Jones,New York Knicks,Texas,2021,1,19,19,Kai Jones,Kai Jones_2021
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20,Jalen Johnson,Jalen Johnson_2021
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21,Keon Johnson,Keon Johnson_2021
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22,Isaiah Jackson,Isaiah Jackson_2021
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23,Usman Garuba,Usman Garuba_2021
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24,Josh Christopher,Josh Christopher_2021
Quentin Grimes,LA Clippers,Houston,2021,1,25,25,Quentin Grimes,Quentin Grimes_2021
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26,Bones Hyland,Bones Hyland_2021
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27,Cam Thomas,Cam Thomas_2021
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28,Jaden Springer,Jaden Springer_2021
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29,Day'Ron Sharpe,Day'Ron Sharpe_2021
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30,Santi Aldama,Santi Aldama_2021
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31,Isaiah Todd,Isaiah Todd_2021
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32,Jeremiah Robinson-Earl,Jeremiah Robinson-Earl_2021
Jason Preston,Orlando Magic,Ohio,2021,2,3,33,Jason Preston,Jason Preston_2021
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34,Rokas Jokubaitis,Rokas Jokubaitis_2021
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35,Herbert Jones,Herbert Jones_2021
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36,Miles McBride,Miles McBride_2021
JT Thor,Detroit Pistons,Auburn,2021,2,7,37,Jt Thor,Jt Thor_2021
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38,Ayo Dosunmu,Ayo Dosunmu_2021
Neemias Queta,Sacramento Kings,Utah State,2021,2,9,39,Neemias Queta,Neemias Queta_2021
Jared Butler,Sacramento Kings,Baylor,2021,2,10,40,Jared Butler,Jared Butler_2021
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41,Joe Wieskamp,Joe Wieskamp_2021
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42,Isaiah Livers,Isaiah Livers_2021
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43,Greg Brown Iii,Greg Brown Iii_2021
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44,Kessler Edwards,Kessler Edwards_2021
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45,Juhann Begarin,Juhann Begarin_2021
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46,Dalano Banton,Dalano Banton_2021
David Johnson,Toronto Raptors,Louisville,2021,2,17,47,David Johnson,David Johnson_2021
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48,Sharife Cooper,Sharife Cooper_2021
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49,Marcus Zegarowski,Marcus Zegarowski_2021
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50,Filip Petrusev,Filip Petrusev_2021
Brandon Boston Jr.,Memphis Grizzlies,Kentucky,2021,2,21,51,Brandon Boston Jr,Brandon Boston Jr_2021
Luka Garza,Detroit Pistons,Iowa,2021,2,22,52,Luka Garza,Luka Garza_2021
Charles Bassey,Philadelphia 76ers,Western Kentucky,2021,2,23,53,Charles Bassey,Charles Bassey_2021
Sandro Mamukelashvili,Indiana Pacers,Seton Hall,2021,2,24,54,Sandro Mamukelashvili,Sandro Mamukelashvili_2021
Aaron Wiggins,Oklahoma City Thunder,Maryland,2021,2,25,55,Aaron Wiggins,Aaron Wiggins_2021
Scottie Lewis,Charlotte Hornets,Florida,2021,2,26,56,Scottie Lewis,Scottie Lewis_2021
Balsa Koprivica,Charlotte Hornets,Florida State,2021,2,27,57,Balsa Koprivica,Balsa Koprivica_2021
Jericho Sims,New York Knicks,Texas,2021,2,28,58,Jericho Sims,Jericho Sims_2021
RaiQuan Gray,Brooklyn Nets,Florida State,2021,2,29,59,Raiquan Gray,Raiquan Gray_2021
Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),2021,2,30,60,Georgios Kalaitzakis,Georgios Kalaitzakis_2021
Anthony Edwards,Minnesota Timberwolves,Georgia,2020,1,1,1,Anthony Edwards,Anthony Edwards_2020
James Wiseman,Golden State Warriors,Memphis,2020,1,2,2,James Wiseman,James Wiseman_2020
LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3,3,Lamelo Ball,Lamelo Ball_2020
Patrick Williams,Chicago Bulls,Florida State,2020,1,4,4,Patrick Williams,Patrick Williams_2020
Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5,5,Isaac Okoro,Isaac Okoro_2020
Onyeka Okongwu,Atlanta Hawks,Southern California,2020,1,6,6,Onyeka Okongwu,Onyeka Okongwu_2020
Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7,Killian Hayes,Killian Hayes_2020
Obi Toppin,New York Knicks,Dayton,2020,1,8,8,Obi Toppin,Obi Toppin_2020
Deni Avdija,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9,9,Deni Avdija,Deni Avdija_2020
Jalen Smith,Phoenix Suns,Maryland,2020,1,10,10,Jalen Smith,Jalen Smith_2020
Devin Vassell,San Antonio Spurs,Florida State,2020,1,11,11,Devin Vassell,Devin Vassell_2020
Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12,12,Tyrese Haliburton,Tyrese Haliburton_2020
Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13,13,Kira Lewis Jr,Kira Lewis Jr_2020
Aaron Nesmith,Boston Celtics,Vanderbilt,2020,1,14,14,Aaron Nesmith,Aaron Nesmith_2020
Cole Anthony,Orlando Magic,North Carolina,2020,1,15,15,Cole Anthony,Cole Anthony_2020
Isaiah Stewart,Portland Trail Blazers,Washington,2020,1,16,16,Isaiah Stewart,Isaiah Stewart_2020
Aleksej Pokusevski,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17,17,Aleksej Pokusevski,Aleksej Pokusevski_2020
Josh Green,Dallas Mavericks,Arizona,2020,1,18,18,Josh Green,Josh Green_2020
Saddiq Bey,Brooklyn Nets,Villanova,2020,1,19,19,Saddiq Bey,Saddiq Bey_2020
Precious Achiuwa,Miami Heat,Memphis,2020,1,20,20,Precious Achiuwa,Precious Achiuwa_2020
Tyrese Maxey,Philadelphia 76ers,Kentucky,2020,1,21,21,Tyrese Maxey,Tyrese Maxey_2020
Zeke Nnaji,Denver Nuggets,Arizona,2020,1,22,22,Zeke Nnaji,Zeke Nnaji_2020
Leandro Bolmaro,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23,23,Leandro Bolmaro,Leandro Bolmaro_2020
R.J. Hampton,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24,Rj Hampton,Rj Hampton_2020
Immanuel Quickley,Oklahoma City Thunder,Kentucky,2020,1,25,25,Immanuel Quickley,Immanuel Quickley_2020
Payton Pritchard,Boston Celtics,Oregon,2020,1,26,26,Payton Pritchard,Payton Pritchard_2020
Udoka Azubuike,Utah Jazz,Kansas,2020,1,27,27,Udoka Azubuike,Udoka Azubuike_2020
Jaden McDaniels,Los Angeles Lakers,Washington,2020,1,28,28,Jaden McDaniels,Jaden McDaniels_2020
Malachi Flynn,Toronto Raptors,San Diego State,2020,1,29,29,Malachi Flynn,Malachi Flynn_2020
Desmond Bane,Boston Celtics,Texas Christian,2020,1,30,30,Desmond Bane,Desmond Bane_2020
Tyrell Terry,Dallas Mavericks,Stanford,2020,2,1,31,Tyrell Terry,Tyrell Terry_2020
Vernon Carey Jr.,Charlotte Hornets,Duke,2020,2,2,32,Vernon Carey Jr,Vernon Carey Jr_2020
Daniel Oturu,Minnesota Timberwolves,Minnesota,2020,2,3,33,Daniel Oturu,Daniel Oturu_2020
Theo Maledon,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34,Theo Maledon,Theo Maledon_2020
Xavier Tillman Sr.,Sacramento Kings,Michigan State,2020,2,5,35,Xavier Tillman Sr,Xavier Tillman Sr_2020
Tyler Bey,Philadelphia 76ers,Colorado,2020,2,6,36,Tyler Bey,Tyler Bey_2020
Vit Krejci,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7,37,Vit Krejci,Vit Krejci_2020
Saben Lee,Utah Jazz,Vanderbilt,2020,2,8,38,Saben Lee,Saben Lee_2020
Elijah Hughes,New Orleans Pelicans,Syracuse,2020,2,9,39,Elijah Hughes,Elijah Hughes_2020
Robert Woodard II,Memphis Grizzlies,Mississippi State,2020,2,10,40,Robert Woodard Ii,Robert Woodard Ii_2020
Tre Jones,San Antonio Spurs,Duke,2020,2,11,41,Tre Jones,Tre Jones_2020
Nick Richards,New Orleans Pelicans,Kentucky,2020,2,12,42,Nick Richards,Nick Richards_2020
