player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12,Taurean Prince,Taurean Prince_2016
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13,Georgios Papagiannis,Georgios Papagiannis_2016
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14,Denzel Valentine,Denzel Valentine_2016
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15,Juancho Hernangomez,Juancho Hernangomez_2016
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16,Guerschon Yabusele,Guerschon Yabusele_2016
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17,Wade Baldwin Iv,Wade Baldwin Iv_2016
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18,Henry Ellenson,Henry Ellenson_2016
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19,Malik Beasley,Malik Beasley_2016
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20,Caris Levert,Caris Levert_2016
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21,Deandre' Bembry,Deandre' Bembry_2016
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22,Malachi Richardson,Malachi Richardson_2016
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23,Ante Zizic,Ante Zizic_2016
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24,Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot_2016
Brice Johnson,LA Clippers,North Carolina,2016,1,25,25,Brice Johnson,Brice Johnson_2016
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26,Furkan Korkmaz,Furkan Korkmaz_2016
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27,Pascal Siakam,Pascal Siakam_2016
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28,Skal Labissiere,Skal Labissiere_2016
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29,Dejounte Murray,Dejounte Murray_2016
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30,Damian Jones,Damian Jones_2016
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31,Deyonta Davis,Deyonta Davis_2016
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32,Ivica Zubac,Ivica Zubac_2016
Cheick Diallo,LA Clippers,Kansas,2016,2,3,33,Cheick Diallo,Cheick Diallo_2016
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34,Tyler Ulis,Tyler Ulis_2016
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35,Rade Zagorac,Rade Zagorac_2016
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36,Malcolm Brogdon,Malcolm Brogdon_2016
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37,Chinanu Onuaku,Chinanu Onuaku_2016
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38,Patrick McCaw,Patrick McCaw_2016
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39,David Michineau,David Michineau_2016
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40,Diamond Stone,Diamond Stone_2016
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41,Stephen Zimmerman,Stephen Zimmerman_2016
