player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Brandon Brown,2009,2017,5,138,10.67,9,False
Jalen Coleman-Lands,2016,2021,5,131,10.66,6,False
Cody Doolin,2011,2015,5,128,10.64,5,False
Jarvis Williams,2009,2015,5,124,10.59,7,False
Jaquori McLaughlin,2017,2021,5,120,10.56,5,False
Schadrac Casimir,2015,2019,5,136,10.44,5,False
Kendall Timmons,2009,2013,5,113,10.42,5,False
Lamarr Kimble,2016,2020,5,115,10.42,5,False
Brett Bisping,2013,2017,5,137,10.31,5,False
Cullen Neal,2014,2018,5,139,10.22,5,False
Peter Hooley,2012,2016,5,125,10.22,5,False
Gregory Echenique,2009,2013,5,140,10.2,5,False
Rj Evans,2009,2013,5,123,10.18,5,False
Alterique Gilbert,2017,2021,5,84,10.16,5,False
Justin Kier,2017,2021,5,132,10.08,5,False
Ross Cummings,2017,2021,5,99,10.07,5,False
D'Mitrik Trice,2017,2021,5,143,10.06,5,False
Glenn Sanabria,2015,2019,5,119,10.02,5,False
Jaire Grayer,2016,2020,5,136,9.88,5,False
Aaron Calixte,2015,2019,5,129,9.86,5,False
Tre Demps,2012,2016,5,132,9.86,5,False
Reggie Johnson,2010,2014,5,128,9.85,5,False
Ryan Betley,2017,2021,5,100,9.84,5,False
Rob Lewis,2009,2014,5,141,9.83,6,False
Kj Walton,2016,2021,5,123,9.82,6,False
Jalen Tate,2017,2021,5,119,9.77,5,False
Jc Hampton,2013,2017,5,120,9.75,5,False
Sean O'Brien,2014,2018,5,160,9.74,5,False
Tj Williams,2011,2017,5,145,9.74,7,False
Ernie Duncan,2015,2019,5,133,9.69,5,False
Ashley Hamilton,2009,2013,5,108,9.68,5,False
Chris Evans,2010,2014,5,138,9.68,5,False
Dainan Swoope,2016,2020,5,120,9.66,5,False
Josh White,2009,2017,5,125,9.66,9,False
Joshua Smith,2011,2015,5,116,9.63,5,False
Dimencio Vaughn,2017,2021,5,111,9.6,5,False
Kurk Lee,2017,2021,5,84,9.59,5,False
Jerron Granberry,2010,2014,5,129,9.58,5,False
Cameron Reynolds,2014,2018,5,133,9.57,5,False
Jake Toolson,2015,2020,5,128,9.57,6,False
Chris Davenport,2011,2017,5,127,9.5,7,False
Malik Maitland,2016,2020,5,104,9.5,5,False
Calvin Thompson,2009,2013,5,79,9.49,5,False
Przemek Karnowski,2013,2017,5,149,9.49,5,False
Jordan Walker,2012,2020,5,117,9.46,9,False
Phil Booth,2015,2019,5,148,9.42,5,False
Keith Frazier,2014,2018,5,84,9.4,5,False
Josh Perkins,2015,2019,5,151,9.36,5,False
Daman Starring,2009,2013,5,126,9.35,5,False
Chris Perez,2010,2014,5,124,9.34,5,False
Evan Kelley,2011,2015,5,116,9.33,5,False
Devin Booker,2010,2015,5,166,9.26,6,False
Jermaine Marshall,2011,2021,5,137,9.24,11,False
Marin Maric,2014,2018,5,115,9.16,5,False
Cameron Jackson,2015,2019,5,127,9.09,5,False
Jarred Jones,2013,2017,5,121,9.08,5,False
Gary Johnson,2009,2014,5,158,9.04,6,False
Frederick Scott,2016,2021,5,103,9.01,6,False
Amric Fields,2011,2015,5,113,8.97,5,False
Rj White,2013,2017,5,128,8.9,5,False
Ricky Johnson,2012,2016,5,120,8.84,5,False
Kareem South,2016,2020,5,123,8.82,5,False
Jt Gibson,2016,2020,5,127,8.79,5,False
Perrion Callandret,2014,2018,5,105,8.79,5,False
Daniel Utomi,2016,2020,5,124,8.77,5,False
Bill Clark,2009,2013,5,119,8.75,5,False
Dazon Ingram,2016,2020,5,137,8.68,5,False
Sandy Cohen Iii,2015,2019,5,124,8.67,5,False
Aj Hess,2013,2017,5,117,8.65,5,False
Terrence Williams,2009,2015,5,162,8.65,7,False
Eric Washington,2012,2017,5,116,8.64,6,False
Aaron Bright,2011,2015,5,134,8.59,5,False
Henry Caruso,2014,2018,5,99,8.59,5,False
Derric Jean,2016,2020,5,129,8.57,5,False
Tomasz Gielo,2012,2016,5,114,8.57,5,False
Eric Garcia,2013,2017,5,120,8.51,5,False
Aaron Cook,2017,2021,5,130,8.5,5,False
Khalen Cumberlander,2013,2017,5,113,8.48,5,False
Charles Jackson,2015,2019,5,154,8.4,5,False
Josh Reaves,2016,2021,5,144,8.4,6,False
Cheddi Mosely,2015,2019,5,87,8.39,5,False
Anthony Marshall,2009,2013,5,159,8.36,5,False
Anthony James,2009,2013,5,125,8.32,5,False
Lamar Patterson,2010,2014,5,149,8.3,5,False
Logan Aronhalt,2009,2013,5,133,8.24,5,False
Desure Buie,2016,2020,5,136,8.23,5,False
David Hanson,2009,2015,5,128,8.2,7,False
Isaiah Johnson,2014,2021,5,147,8.18,8,False
Anthony Mathis,2016,2020,5,130,8.17,5,False
Anthony Hill,2009,2013,5,147,8.16,5,False
Charles Carmouche,2009,2013,5,118,8.12,5,False
Craig Ponder,2012,2016,5,124,8.11,5,False
Will Weeks,2013,2017,5,104,8.11,5,False
Brian Pegg,2013,2017,5,104,8.08,5,False
Isaac Johnson,2017,2021,5,122,8.07,5,False
Myke Henry,2012,2016,5,119,8.02,5,False
Tshilidzi Nephawe,2011,2015,5,130,8.01,5,False
Jared Harper,2015,2019,5,111,7.99,5,False
Coron Williams,2010,2014,5,140,7.96,5,False
Isaiah Jackson,2015,2021,5,157,7.95,7,False
Malik Ellison,2016,2020,5,141,7.95,5,False
Justin Coleman,2012,2019,5,144,7.93,8,False
